epoch,fit time
0,4.8584437369972875
1,3.210682189997897
2,3.3651957109977957
3,3.505268625001918
4,3.1100063630001387
5,3.0739880699984496
6,3.11104926200278
7,2.998883440002828
8,3.239949727001658
9,3.223106278001069
10,3.371990983996511
11,3.223119742997369
12,3.199669540001196
13,3.2463611610000953
14,3.9169387879992428
15,3.2558862760015472
16,3.1706122169998707
17,3.034804427999916
18,3.3131446760016843
19,3.184386081997218
20,3.2435585069979425
21,3.6808782179978152
22,3.332292266000877
23,3.17598637500123
24,3.2487266040006944
25,3.067224990998511
26,3.1216703399986727
27,3.0801833479999914
28,3.072708430001512
29,3.075381255999673
30,3.069191618000332
31,3.7495000079979945
32,3.317251065000164
33,3.259374173998367
34,3.5078076200006763
35,3.6099513649969595
36,3.4020755640012794
37,3.175696374000836
38,3.054627415000141
39,3.0533895890002896
40,3.084180371999537
41,3.0815010820006137
42,3.1681612219981616
43,3.2275783000004594
44,3.654710549999436
45,3.32303019200117
46,3.18651239799874
47,3.8548868260004383
48,3.1636202890003915
49,3.512866312001279
50,3.6674602309976763
51,3.4070048870016763
52,3.366371080002864
53,3.2986535810014175
54,4.0739482149983814
55,3.235389549001411
56,3.2569921460017213
57,3.1406241820004652
58,3.2624342039998737
59,3.2897455640013504
60,3.384814004999498
61,2.9279675139987376
62,3.0668661490017257
63,3.435600060001889
64,3.312033539998083
65,3.353663319001498
66,3.3662774080003146
67,3.0218303959991317
68,3.3763423500022327
69,3.1578617459999805
70,2.9785723900022276
71,2.9593806080010836
72,2.9141595120017882
73,3.0195030059985584
74,2.9639134210010525
75,3.022833895000076
76,2.925581403000251
77,3.053096149000339
78,3.233389544999227
79,3.2651378250011476
80,3.171067254999798
81,3.306634435997694
82,3.8121739700000035
83,3.214837390001776
84,3.1569419269981154
85,3.3708321019985306
86,3.1760057659994345
87,3.1742272900009993
88,3.2321647929966275
89,3.2634654749999754
90,3.173238791001495
91,3.1401951350017043
92,3.301572808999481
93,3.0601168050015986
94,3.3817093309990014
95,3.135492346002138
96,3.3667683849998866
97,3.66093866999654
98,3.3079722129987204
99,3.3164644629978284
100,3.305643373001658
