epoch,fit time
0,145.33942340900012
1,141.45151158400017
2,141.52623837700003
3,141.29349361699997
4,141.93836459000022
5,141.65063019900026
6,140.83180323499982
7,140.95506195300004
8,141.87513844700015
9,141.92707935399994
10,141.66798079599994
11,141.83136845399986
12,142.2720385179996
13,144.56956451399992
14,144.67002768999964
15,141.61223434400017
16,141.89530923199982
17,141.79059069299956
18,140.71484957400025
19,141.98442718099977
